english,pronunciation,japanese
good morning,ohayou,おはよう
good morning,ohayougoyaimasu,おはようございます
hello,konnichiwa,こんにいちは
good evening,konbanwa,こんばんは
see you,sayounara,さようなら
have a good night,oyasumi,おやすみ
thank you,arigatou,ありがとう
thank you very much,arigatougozaimasu,ありがとうございます
please,sumimasen,すみません
no,iie,いいえ
I go and will come back,ittekimasu,いってきます
please go and come back,itterasshai,いってらっしゃい
I am home,tadaima,ただいま
welcome home,okaerinasai,おかえりなさい
enjoy your meal,itadakimasu,いただきます
thank you for the meal,gochisousamadeshita,ごちそうさまでした
how do you do,hajimemashite,はじめまして
nice to meet you,yoroshikuonegaishimasu,よろしくおねがいします
